CustomerID,Age,TenureMonths,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,Churn
C1001,69,52,95.07,Month-to-month,Fiber optic,Yes,Credit card,No
C1002,61,15,110.0,Month-to-month,Fiber optic,No,Electronic check,Yes
C1003,34,61,37.13,One year,DSL,Yes,Bank transfer,No
C1004,30,8,80.07,Month-to-month,DSL,No,Mailed check,Yes
C1005,43,47,89.88,Two year,Fiber optic,Yes,Credit card,No
C1006,55,35,49.8,Two year,DSL,No,Bank transfer,No
C1007,68,17,103.87,Month-to-month,Fiber optic,No,Electronic check,Yes
C1008,25,54,63.45,One year,DSL,Yes,Credit card,No
C1009,49,47,79.56,Month-to-month,DSL,No,Bank transfer,Yes
C1010,38,3,106.87,Month-to-month,Fiber optic,No,Electronic check,Yes
C1011,59,32,43.83,Two year,No,Yes,Mailed check,No
C1012,21,44,45.83,One year,DSL,Yes,Credit card,No
C1013,48,27,100.87,Month-to-month,Fiber optic,No,Electronic check,Yes
C1014,28,58,70.25,Two year,DSL,Yes,Bank transfer,No
C1015,66,16,115.37,Month-to-month,Fiber optic,No,Electronic check,Yes
C1016,52,52,33.48,Two year,No,Yes,Credit card,No
C1017,40,18,83.27,Month-to-month,Fiber optic,No,Bank transfer,Yes
C1018,73,63,54.18,Two year,DSL,Yes,Mailed check,No
C1019,31,11,91.24,Month-to-month,Fiber optic,No,Electronic check,Yes
C1020,45,39,62.55,One year,DSL,Yes,Credit card,No
C1021,57,7,101.44,Month-to-month,Fiber optic,No,Electronic check,Yes
C1022,24,69,28.75,Two year,No,Yes,Bank transfer,No
C1023,36,23,77.6,Month-to-month,DSL,No,Mailed check,Yes
C1024,63,55,68.94,One year,DSL,Yes,Credit card,No
C1025,29,4,109.75,Month-to-month,Fiber optic,No,Electronic check,Yes
C1026,51,41,51.28,Two year,DSL,Yes,Bank transfer,No
C1027,70,14,84.33,Month-to-month,Fiber optic,No,Electronic check,Yes
C1028,42,60,39.12,Two year,No,Yes,Credit card,No
C1029,19,9,73.88,Month-to-month,DSL,No,Mailed check,Yes
C1030,58,48,96.55,One year,Fiber optic,Yes,Bank transfer,No
C1031,33,22,87.43,Month-to-month,Fiber optic,No,Electronic check,Yes
C1032,47,67,44.17,Two year,DSL,Yes,Credit card,No
C1033,65,13,118.72,Month-to-month,Fiber optic,No,Electronic check,Yes
C1034,27,37,59.36,One year,DSL,Yes,Bank transfer,No
C1035,54,6,97.08,Month-to-month,Fiber optic,No,Mailed check,Yes
C1036,39,51,42.63,Two year,No,Yes,Credit card,No
C1037,71,28,81.77,Month-to-month,Fiber optic,No,Electronic check,Yes
C1038,23,45,56.91,One year,DSL,Yes,Bank transfer,No
C1039,46,19,74.45,Month-to-month,DSL,No,Electronic check,Yes
C1040,60,71,31.22,Two year,No,Yes,Credit card,No
C1041,35,2,112.5,Month-to-month,Fiber optic,No,Electronic check,Yes
C1042,50,34,66.38,One year,DSL,Yes,Bank transfer,No
C1043,26,12,88.76,Month-to-month,Fiber optic,No,Mailed check,Yes
C1044,44,57,52.19,Two year,DSL,Yes,Credit card,No
C1045,67,25,92.84,Month-to-month,Fiber optic,No,Electronic check,Yes
C1046,37,49,48.77,Two year,No,Yes,Bank transfer,No
C1047,56,16,76.91,Month-to-month,DSL,No,Electronic check,Yes
